osm_id;roof:shape;roof:material
362829791;hipped;metal
362829792;;metal
362829793;flat;concrete
362829794;hipped;roof_tiles
362829796;;metal
362829797;;metal
362829798;;metal
362829799;flat;metal
362829800;flat;concrete
362829801;hipped;roof_tiles
362829802;flat;concrete
362827260;;metal
362827261;flat;concrete
362827263;flat;
362827264;hipped;
362827265;;metal
362827267;flat;
362827268;hipped;metal
362827270;;metal
362827271;hipped;metal
362827272;flat;concrete
362827273;hipped;
362827274;flat;metal
362827276;hipped;
362827277;hipped;
362827278;flat;concrete
362827279;flat;concrete
362827280;hipped;roof_tiles
362827281;flat;metal
362827282;flat;metal
362827283;hipped;
362827285;flat;metal
362827286;hipped;metal
362827287;hipped;
362827288;hipped;metal
362827289;;metal
362827290;;metal
362827291;hipped;roof_tiles
362827292;hipped;metal
362827294;hipped;roof_tiles
362827295;hipped;roof_tiles
362847127;;metal
362847128;flat;concrete
362847129;;metal
362847130;flat;concrete
362847131;flat;concrete
362847132;flat;metal
362847133;flat;concrete
362847135;flat;metal
362847136;;metal
362865355;flat;concrete
362865356;;metal
362865357;flat;
362865358;hipped;metal
362865359;hipped;
362865360;;metal
362865362;;concrete
362865363;flat;metal
362865367;;metal
362865368;;metal
362865369;;metal
362865370;;metal
362865371;hipped;metal
362865373;hipped;concrete
362865378;flat;
362865379;hipped;metal
362865380;flat;concrete
362865382;;metal
362865384;hipped;metal
362865388;flat;concrete
362865392;flat;concrete
362865394;hipped;metal
362865395;hipped;metal
362865397;;metal
362865399;hipped;metal
362865400;hipped;metal
362865401;flat;metal
362865402;;metal
362865403;hipped;metal
362865404;;metal
362865405;;metal
362865406;;metal
362865407;hipped;metal
362865408;;metal
362865409;hipped;
362879959;flat;metal
362879960;;metal
362879961;flat;concrete
362879962;;roof_tiles
362879963;flat;metal
362879964;flat;
362879965;flat;concrete
362879966;flat;concrete
362879967;flat;metal
362879969;;metal
362879970;flat;concrete
362879971;flat;concrete
362879972;;metal
362879973;;metal
362879975;flat;metal
362879976;;metal
362879977;hipped;roof_tiles
362879978;;metal
362879979;;concrete
362879981;;metal
362879982;hipped;metal
362879983;;metal
362879984;flat;metal
362879986;;metal
362879987;;metal
362879988;;concrete
362879989;;metal
362879990;flat;metal
362879991;;metal
362879992;flat;metal
362879993;;metal
362879994;;metal
362879995;flat;
362879997;hipped;metal
362879998;flat;
362880000;flat;concrete
362880001;flat;concrete
362880002;;metal
362880003;;metal
362865410;;metal
362865411;;metal
362865412;flat;metal
362879832;;metal
362879833;;roof_tiles
362879834;hipped;metal
362879835;;metal
362879836;;metal
362879837;;metal
362879838;;concrete
362879839;;metal
362879840;flat;metal
362879841;hipped;
362879842;;metal
362879843;;metal
362879844;flat;concrete
362879846;;concrete
362879847;;metal
362879849;flat;concrete
362879850;;metal
362879851;flat;concrete
362879852;flat;metal
362879853;hipped;
362879854;;metal
362879855;flat;metal
362879856;flat;concrete
362879858;hipped;metal
362879859;;metal
362879860;flat;metal
362879862;;roof_tiles
362879863;flat;concrete
362879864;flat;concrete
362879865;flat;metal
362879866;;metal
362879867;;metal
362879868;;metal
362879869;;metal
362879871;flat;concrete
362879872;;metal
362879873;hipped;metal
362996242;flat;concrete
363011793;flat;
363019780;flat;concrete
363019781;;metal
363019783;;metal
363019786;flat;
363030083;hipped;metal
363050675;hipped;metal
363050676;hipped;metal
363054409;;metal
363054411;flat;concrete
363054413;flat;concrete
363054414;flat;concrete
363054415;hipped;metal
363054416;hipped;metal
363070625;;concrete
363070628;flat;concrete
363070632;;concrete
363070635;;metal
363070639;hipped;
363070643;flat;concrete
363070646;;concrete
363070650;flat;metal
363070657;hipped;
363071665;;concrete
363071666;;metal
363071667;flat;metal
363071669;hipped;
363075319;flat;concrete
363075320;;concrete
363075321;;metal
363075322;flat;concrete
363075323;;metal
363222170;hipped;
363222172;hipped;
363222173;hipped;
363222174;flat;metal
362879874;;metal
362879875;hipped;metal
362879876;;metal
362879877;hipped;metal
362879878;flat;metal
362879879;;metal
362879880;flat;concrete
362879881;;metal
362879882;;metal
362879883;;metal
362879884;;metal
362879885;hipped;metal
362879886;;concrete
362879887;flat;concrete
362879888;;metal
362879890;;metal
362879891;flat;concrete
362879892;flat;metal
362879893;flat;metal
362879895;;roof_tiles
362879896;;metal
362879898;flat;metal
362879899;;metal
362879900;;metal
362879901;;metal
362879902;;metal
362879903;;metal
362879904;flat;metal
362879905;;metal
362879906;hipped;metal
362879907;;metal
362879908;;metal
362879909;;metal
362879910;;metal
362879911;flat;metal
362879912;flat;concrete
362879913;flat;metal
362879914;flat;concrete
362879915;flat;
362879916;flat;
362879917;flat;concrete
362879918;;metal
362879919;;metal
362879920;flat;metal
362879921;;metal
363222178;flat;metal
363222180;;metal
363222181;;metal
363222184;;metal
363222186;;metal
363222188;;metal
363222190;;metal
365477335;flat;metal
365477336;flat;metal
365477337;flat;concrete
365477338;flat;concrete
365477339;flat;concrete
365477340;flat;concrete
365477341;flat;concrete
365477342;flat;concrete
365477343;;metal
365477344;;metal
365477345;;metal
365477346;;metal
365477347;;metal
365477348;hipped;roof_tiles
365477349;flat;concrete
365477350;;metal
365477351;;metal
365477352;;metal
365477353;;metal
365477354;;metal
365477355;;metal
365477356;;metal
365477357;flat;concrete
365486260;;concrete
365486261;flat;concrete
365486262;hipped;
365486263;;concrete
365486264;;concrete
365486265;;concrete
365486266;;concrete
365486267;;concrete
362847137;flat;metal
362847138;flat;concrete
362847139;;metal
362847140;;metal
362847141;flat;concrete
362847143;;metal
362847144;flat;metal
362847145;;metal
362847146;;metal
362847147;;metal
362847148;flat;metal
362847149;;metal
362847150;;metal
362847152;flat;concrete
362847153;flat;concrete
362847154;hipped;
362847155;flat;concrete
362847156;hipped;metal
362847157;flat;metal
362847158;hipped;metal
362847159;flat;metal
362847160;hipped;
362847161;flat;metal
362847162;hipped;metal
362847163;flat;metal
362847164;flat;concrete
362847165;;metal
362847166;hipped;metal
362847167;;metal
362847169;flat;metal
362847171;hipped;metal
362847173;flat;metal
362847174;;concrete
362847175;flat;metal
362847176;flat;metal
362847177;flat;concrete
362847178;hipped;metal
362847179;hipped;
362847180;hipped;roof_tiles
362829803;flat;metal
362829804;flat;concrete
362829805;flat;concrete
362829806;flat;metal
362829807;flat;concrete
362829808;;metal
362829809;hipped;metal
362829810;hipped;metal
362847076;hipped;
362847078;;metal
362847080;hipped;metal
362847081;;metal
362847082;hipped;
362847083;;metal
362847084;;metal
362847086;hipped;
362847087;;concrete
362847088;hipped;metal
362847089;flat;metal
362847090;hipped;
362847092;;metal
362847093;flat;concrete
362847094;hipped;metal
362847095;hipped;metal
362847096;hipped;metal
362847097;flat;concrete
362847098;;metal
362847099;flat;
362847100;flat;concrete
362847101;hipped;metal
362847103;flat;concrete
362847104;flat;concrete
362847105;;metal
362847106;;metal
362847107;flat;concrete
362847109;hipped;metal
362847110;hipped;metal
362847111;hipped;metal
362847112;flat;metal
362847113;hipped;metal
362847114;hipped;metal
362847115;;metal
362847116;flat;concrete
362847117;flat;concrete
362847118;;metal
362847119;hipped;metal
362847120;;concrete
362847121;flat;concrete
362847122;flat;metal
362847123;flat;metal
362847124;;metal
362847125;flat;concrete
362847126;flat;metal
362856185;;metal
362856186;;concrete
362856187;flat;metal
362856188;flat;concrete
362856189;flat;metal
362856190;flat;concrete
362856191;hipped;metal
362865226;flat;metal
362865227;hipped;roof_tiles
362865228;flat;concrete
362865229;;roof_tiles
362865231;flat;concrete
362865235;;metal
362865236;;metal
362865237;;metal
362865239;;metal
362865240;hipped;metal
362865241;hipped;
362865242;;metal
362865243;;metal
362865244;flat;metal
362865245;flat;metal
362865247;;metal
362865248;hipped;metal
362847181;flat;concrete
362847182;flat;concrete
362847183;flat;metal
362847184;flat;concrete
362847185;flat;concrete
362847186;flat;concrete
362847188;flat;concrete
362847189;hipped;metal
362847190;flat;metal
362847191;flat;concrete
362847193;hipped;
362847194;;metal
362847195;hipped;metal
362847196;;metal
362847197;flat;concrete
362847198;flat;concrete
362849458;hipped;
362849459;;roof_tiles
362849460;;metal
362849461;flat;metal
362849462;hipped;metal
362849463;flat;concrete
362849464;;metal
362849465;hipped;concrete
362849466;flat;concrete
362849467;flat;roof_tiles
362849468;flat;concrete
362849469;flat;concrete
362849470;flat;concrete
362849471;flat;concrete
362849473;flat;metal
362849474;hipped;
362849475;;metal
362849477;;metal
362849478;hipped;
362849479;;metal
362849480;;concrete
362849481;flat;concrete
362849482;hipped;roof_tiles
362849483;;concrete
363475011;;metal
363475014;flat;concrete
363476771;flat;concrete
363476775;flat;concrete
363476778;;metal
363476785;;metal
363476789;;metal
363526996;;metal
363526998;;metal
363527001;hipped;roof_tiles
363527007;hipped;metal
363527008;;metal
363527009;;metal
363531469;hipped;metal
363531470;hipped;metal
363531471;flat;metal
363531472;;metal
363531473;flat;roof_tiles
363531820;hipped;
363531821;flat;
363806985;;metal
363806986;;metal
363806987;hipped;metal
363806988;flat;
363806989;flat;concrete
364027463;flat;metal
364028550;;metal
364035754;;concrete
364038707;flat;concrete
364038711;flat;concrete
364063861;;concrete
364063862;;metal
364066191;;metal
364066192;hipped;
364066193;flat;
364067760;flat;concrete
365486268;;concrete
365486269;;concrete
365486270;;concrete
365486271;;concrete
365486272;;concrete
365486273;;concrete
365486274;;concrete
365486275;;concrete
365486276;;concrete
365486277;;metal
365486278;hipped;
365486279;flat;concrete
365486283;;concrete
365486284;flat;concrete
365486285;hipped;metal
365486286;;metal
365516808;;metal
365516809;flat;metal
365516814;hipped;roof_tiles
365516815;hipped;roof_tiles
365527900;;metal
365527901;hipped;metal
365527903;;metal
365527904;;metal
365527905;;metal
365527906;;metal
365527907;;metal
365527908;;metal
365527909;hipped;
365527910;hipped;metal
365527911;;metal
365527912;;metal
365527914;;metal
365527915;;metal
365527916;;metal
365527918;;metal
365527919;flat;metal
365527920;hipped;
364067761;flat;concrete
364067762;flat;concrete
364070974;flat;
364070975;flat;
364070976;flat;roof_tiles
364070977;;roof_tiles
364070978;flat;roof_tiles
365354466;hipped;metal
365354467;hipped;metal
365354468;hipped;metal
365354469;hipped;metal
365354470;hipped;metal
365354471;hipped;metal
365354472;hipped;metal
365354473;;metal
365354474;flat;metal
365354475;;metal
365354476;hipped;metal
365354477;;metal
365354478;;metal
365354479;;metal
365354480;;metal
365354481;hipped;
365354482;flat;metal
365354483;flat;concrete
365354484;hipped;metal
365354485;;metal
365354487;;metal
365354488;flat;metal
365354489;flat;metal
365354490;flat;metal
365354491;;metal
365354492;;metal
365532980;;roof_tiles
362849484;flat;concrete
362849485;flat;concrete
362849486;flat;concrete
362849487;;metal
362849488;flat;concrete
362849490;flat;metal
362849491;flat;concrete
362849492;flat;concrete
362849493;flat;concrete
362856155;flat;metal
362856156;flat;concrete
362856158;;metal
362856159;flat;concrete
362856160;;metal
362856161;;metal
362856162;flat;
362856163;;concrete
362856164;flat;concrete
362856165;flat;metal
362856166;hipped;metal
362856167;flat;metal
362856168;;metal
362856169;flat;concrete
362856170;hipped;
362856171;flat;metal
362856172;flat;metal
362856173;hipped;concrete
362856174;hipped;
362856175;;metal
362856176;flat;metal
362856177;;metal
362856178;flat;concrete
362856179;;metal
362856181;;metal
362856183;flat;concrete
362856184;;metal
363222191;;metal
363222194;flat;metal
363222195;flat;metal
363222196;hipped;metal
363228747;hipped;roof_tiles
365527921;flat;metal
365527922;flat;metal
365527924;;metal
365527925;hipped;metal
365527926;hipped;concrete
365527927;;metal
365527928;;metal
365527930;flat;metal
365527931;hipped;metal
365527932;flat;metal
365527933;;metal
365527934;hipped;metal
365527936;;metal
365527939;;metal
365527940;;metal
365527941;;metal
365527944;;metal
365527945;hipped;
365527947;;metal
365527948;;metal
365527949;;metal
365527950;;metal
365527951;;metal
365532963;;metal
365532964;;metal
365532965;;metal
365532966;;metal
365532967;hipped;metal
365532968;flat;metal
365532969;;metal
365532970;;metal
365532971;;metal
365532972;flat;metal
365532973;flat;concrete
365532974;;metal
365532975;;metal
365532976;;metal
365532977;;metal
365532978;;roof_tiles
365532979;flat;concrete
365354493;;metal
365354494;hipped;metal
365354496;;metal
365354498;;metal
365354500;;metal
365354501;flat;metal
